,Unnamed: 0,binomial,country,continent,genus,family,UUID,class_id,snake_sub_family,poisonous,X,Y,height,width
2385,2385,Boiga kraepelini,Taiwan,Asia,Boiga,Colubridae,d6333d0df7b54347ac1a16b8e312690c,73,Boiga kraepelini,0,0.498608,0.4947121,0.9623554,0.9570633
2386,2386,Boiga kraepelini,unknown,unknown,Boiga,Colubridae,8a6617d6452842a59b84611a36ca9e99,73,Boiga kraepelini,0,0.43901107,0.5426819,0.39177218,0.72762114
2387,2387,Boiga kraepelini,China,Asia,Boiga,Colubridae,2bfdb3e590d94fd8a2330069b0bcf6a4,73,Boiga kraepelini,0,0.4937034,0.54013723,0.8130974,0.9165227
2388,2388,Boiga kraepelini,China,Asia,Boiga,Colubridae,52768d4cb0014c56ac340819727f3273,73,Boiga kraepelini,0,0.47476196,0.5705319,0.78407866,0.8864088
2389,2389,Boiga kraepelini,China,Asia,Boiga,Colubridae,bfa537bfbdb74cc4bafede24bf4c6f6e,73,Boiga kraepelini,0,0.48625812,0.47855353,0.92284304,0.9265238
2390,2390,Boiga kraepelini,Taiwan,Asia,Boiga,Colubridae,8fc1a997bbc644b3be01f7b4a6be6469,73,Boiga kraepelini,0,0.48419052,0.5682926,0.8763745,0.9318155
2391,2391,Boiga kraepelini,China,Asia,Boiga,Colubridae,328692c8d49c4d38a722547b44287562,73,Boiga kraepelini,0,0.63343245,0.3270605,0.6769976,0.7185548
2392,2392,Boiga kraepelini,Taiwan,Asia,Boiga,Colubridae,60726453d4eb4b21aa5818023299ef16,73,Boiga kraepelini,0,0.44791332,0.5076185,0.9157989,0.8807753
2393,2393,Boiga kraepelini,China,Asia,Boiga,Colubridae,3a2ada524f3e43e0ba1fe42adc4cdf6b,73,Boiga kraepelini,0,0.56509244,0.40932655,0.61783403,0.83704764
2394,2394,Boiga kraepelini,Taiwan,Asia,Boiga,Colubridae,705bfeddb9c54d928f5541748d3ae38d,73,Boiga kraepelini,0,0.46855593,0.522131,0.83391017,0.8809664
